Index,Season,Game,Date,Time,RefTeam,RefATT Tier,OppTeam,OppDEF Tier,GoalsScored,GoalsConc,Home/Away,Result,Shots,OnTarget,Corners,Yellows,Reds,ATTRef,MIDRef,DEFRef,OVRRef,ATTOpp,MIDOpp,DEFOpp,OVROpp,Code,RefGS,OppGD,RefS,RefST,RefC,RefBP,OppBP,ATTDEF,MIDMID,DEFATT,OVROVR,Derby,RefGSF,OppGDF,RefSF,RefSTF,OppSTDF,RefCF,RefBPF,OppBPF,Home
20172018_009,20172018,1,20/08/2017,,Genoa,D,Sassuolo,B,0,0,Away,Draw,12,4,5,3,0,73,76,75,75,76,74,75,76,GenoaSassuolo,0,0,17.352,5.784,7.23,30,20,-2,2,-1,-1,0,,,,,,,,,
20172018_006,20172018,1,20/08/2017,,Inter,A,Fiorentina,B,3,0,Home,Win,16,6,9,0,0,81,81,78,80,79,76,76,77,InterFiorentina,4.338,3,23.136,8.676,13.014,0,10,5,5,-1,3,0,,,,,,,,,
20172018_007,20172018,1,20/08/2017,,Lazio,B,Spal,D,0,0,Home,Draw,23,13,9,2,0,79,79,79,79,74,71,71,72,LazioSpal,0,0,23,13,9,20,20,8,8,5,7,0,,,,,,,,,
20172018_005,20172018,1,20/08/2017,,Milan,A,Crotone,D,3,0,Away,Win,19,10,9,3,0,79,79,81,80,69,69,70,70,MilanCrotone,3,3,19,10,9,30,35,9,10,12,10,0,,,,,,,,,
20172018_003,20172018,1,20/08/2017,,Roma,A,Atalanta,B,1,0,Away,Win,6,1,1,2,0,80,83,80,81,77,74,76,75,RomaAtalanta,1.446,1,8.676,1.446,1.446,20,10,4,9,3,6,0,,,,,,,,,
20172018_008,20172018,1,20/08/2017,,Sampdoria,C,Benevento,D,2,1,Home,Win,16,6,6,1,0,75,75,72,75,72,71,71,71,SampdoriaBenevento,2,3.342,16,6,6,10,20,4,4,0,4,0,,,,,,,,,
20172018_009,20172018,1,20/08/2017,,Sassuolo,C,Genoa,C,0,0,Home,Draw,14,3,2,2,0,76,74,75,76,73,76,75,75,SassuoloGenoa,0,0,16.562,3.549,2.366,20,30,1,-2,2,1,0,,,,,,,,,
20172018_007,20172018,1,20/08/2017,,Spal,D,Lazio,A,0,0,Away,Draw,9,2,5,2,0,74,71,71,72,79,79,79,79,SpalLazio,0,0,17.55,3.9,9.75,20,20,-5,-8,-8,-7,0,,,,,,,,,
20172018_004,20172018,1,20/08/2017,,Torino,B,Bologna,C,1,1,Away,Draw,9,3,8,1,0,78,77,75,76,77,74,74,75,TorinoBologna,1.183,1.335,10.647,3.549,9.464,10,20,4,3,-2,1,0,,,,,,,,,
20172018_010,20172018,1,20/08/2017,,Udinese,C,Chievo,C,1,2,Home,Loss,18,5,5,2,0,74,75,75,75,74,77,75,75,UdineseChievo,1.183,1.671,21.294,5.915,5.915,20,20,-1,-2,1,0,0,,,,,,,,,
20172018_011,20172018,2,26/08/2017,,Benevento,D,Bologna,C,0,1,Home,Loss,15,5,6,1,0,72,71,71,71,77,74,74,75,BeneventoBologna,0,0,17.745,5.915,7.098,10,30,-2,-3,-6,-4,0,,,,,,,,,
20172018_011,20172018,2,26/08/2017,,Bologna,B,Benevento,D,1,0,Away,Win,14,4,2,3,0,77,74,74,75,72,71,71,71,BolognaBenevento,1,1.335,14,4,2,30,10,6,3,2,4,0,,,,,,,,,
20172018_012,20172018,2,26/08/2017,,Genoa,D,Juventus,A,2,4,Home,Loss,9,3,1,4,0,73,76,75,75,90,84,85,85,GenoaJuventus,3.9,4.19,17.55,5.85,1.95,40,30,-12,-8,-15,-10,0,,,,,,,,,
20172018_013,20172018,2,26/08/2017,,Inter,A,Roma,A,3,1,Away,Win,14,8,6,1,0,81,81,78,80,80,83,80,81,InterRoma,5.85,3,27.3,15.6,11.7,10,10,1,-2,-2,-1,0,,,,,,,,,
20172018_012,20172018,2,26/08/2017,,Juventus,A,Genoa,C,4,2,Away,Win,17,7,4,3,0,90,84,85,85,73,76,75,75,JuventusGenoa,4.732,4,20.111,8.281,4.732,30,40,15,8,12,10,0,,,,,,,,,
20172018_013,20172018,2,26/08/2017,,Roma,A,Inter,B,1,3,Home,Loss,18,3,12,1,0,80,83,80,81,81,81,78,80,RomaInter,1.446,1,26.028,4.338,17.352,10,10,2,2,-1,1,0,,,,,,,,,
20172018_018,20172018,2,27/08/2017,,Atalanta,B,Napoli,A,1,3,Away,Loss,14,2,6,2,0,77,74,76,75,83,82,80,81,AtalantaNapoli,1.95,1.335,27.3,3.9,11.7,20,10,-3,-8,-7,-6,0,,,,,,,,,
20172018_017,20172018,2,27/08/2017,,Cagliari,C,Milan,A,1,2,Away,Loss,14,4,6,1,0,74,74,71,73,79,79,81,80,CagliariMilan,1.95,1.671,27.3,7.8,11.7,10,20,-7,-5,-8,-7,0,,,,,,,,,
20172018_014,20172018,2,27/08/2017,,Chievo,C,Lazio,A,1,2,Home,Loss,13,5,9,1,0,74,77,75,75,79,79,79,79,ChievoLazio,1.95,1.671,25.35,9.75,17.55,10,10,-5,-2,-4,-4,0,,,,,,,,,
20172018_015,20172018,2,27/08/2017,,Crotone,D,Verona,C,0,0,Home,Draw,13,4,1,1,0,69,69,70,70,73,71,73,72,CrotoneVerona,0,0,15.379,4.732,1.183,10,30,-4,-2,-3,-2,0,,,,,,,,,
20172018_016,20172018,2,27/08/2017,,Fiorentina,B,Sampdoria,D,1,2,Home,Loss,25,10,14,3,0,79,76,76,77,75,75,72,75,FiorentinaSampdoria,1,1.335,25,10,14,30,40,7,1,1,2,0,,,,,,,,,
20172018_014,20172018,2,27/08/2017,,Lazio,B,Chievo,C,2,1,Away,Win,13,3,6,1,0,79,79,79,79,74,77,75,75,LazioChievo,2.366,2.67,15.379,3.549,7.098,10,10,4,2,5,4,0,,,,,,,,,
20172018_017,20172018,2,27/08/2017,,Milan,A,Cagliari,D,2,1,Home,Win,15,5,2,2,0,79,79,81,80,74,74,71,73,MilanCagliari,2,2,15,5,2,20,10,8,5,7,7,0,,,,,,,,,
20172018_018,20172018,2,27/08/2017,,Napoli,A,Atalanta,B,3,1,Home,Win,10,4,9,1,0,83,82,80,81,77,74,76,75,NapoliAtalanta,4.338,3,14.46,5.784,13.014,10,20,7,8,3,6,0,,,,,,,,,
20172018_016,20172018,2,27/08/2017,,Sampdoria,C,Fiorentina,B,2,1,Away,Win,12,5,7,4,0,75,75,72,75,79,76,76,77,SampdoriaFiorentina,2.892,3.342,17.352,7.23,10.122,40,30,-1,-1,-7,-2,0,,,,,,,,,
20172018_020,20172018,2,27/08/2017,,Sassuolo,C,Torino,B,0,3,Away,Loss,19,2,11,1,0,76,74,75,76,78,77,75,76,SassuoloTorino,0,0,27.474,2.892,15.906,10,10,1,-3,-3,0,0,,,,,,,,,
20172018_019,20172018,2,27/08/2017,,Spal,D,Udinese,C,3,2,Home,Win,10,4,0,3,0,74,71,71,72,74,75,75,75,SpalUdinese,3.549,6.285,11.83,4.732,0,30,10,-1,-4,-3,-3,0,,,,,,,,,
20172018_020,20172018,2,27/08/2017,,Torino,B,Sassuolo,B,3,0,Home,Win,14,5,5,1,0,78,77,75,76,76,74,75,76,TorinoSassuolo,4.338,4.005,20.244,7.23,7.23,10,10,3,3,-1,0,0,,,,,,,,,
20172018_019,20172018,2,27/08/2017,,Udinese,C,Spal,D,2,3,Away,Loss,11,3,7,1,0,74,75,75,75,74,71,71,72,UdineseSpal,2,3.342,11,3,7,10,30,3,4,1,3,0,,,,,,,,,
20172018_015,20172018,2,27/08/2017,,Verona,D,Crotone,D,0,0,Away,Draw,5,0,3,3,0,73,71,73,72,69,69,70,70,VeronaCrotone,0,0,5,0,3,30,10,3,2,4,2,0,,,,,,,,,
20172018_021,20172018,3,09/09/2017,,Chievo,C,Juventus,A,0,3,Away,Loss,15,2,6,1,0,74,77,75,75,90,84,85,85,ChievoJuventus,0,0,29.25,3.9,11.7,10,20,-11,-7,-15,-10,0,,,,,,,,,
20172018_021,20172018,3,09/09/2017,,Juventus,A,Chievo,C,3,0,Home,Win,15,4,10,2,0,90,84,85,85,74,77,75,75,JuventusChievo,3.549,3,17.745,4.732,11.83,20,10,15,7,11,10,0,,,,,,,,,
20172018_022,20172018,3,10/09/2017,,Atalanta,B,Sassuolo,B,2,1,Home,Win,9,3,3,0,0,77,74,76,75,76,74,75,76,AtalantaSassuolo,2.892,2.67,13.014,4.338,4.338,0,10,2,0,0,-1,0,,,,,,,,,
20172018_023,20172018,3,10/09/2017,,Benevento,D,Torino,B,0,1,Home,Loss,15,5,2,2,0,72,71,71,71,78,77,75,76,BeneventoTorino,0,0,21.69,7.23,2.892,20,20,-3,-6,-7,-5,0,,,,,,,,,
20172018_024,20172018,3,10/09/2017,,Bologna,B,Napoli,A,0,3,Home,Loss,5,2,5,5,0,77,74,74,75,83,82,80,81,BolognaNapoli,0,0,9.75,3.9,9.75,50,10,-3,-8,-9,-6,0,,,,,,,,,
20172018_025,20172018,3,10/09/2017,,Cagliari,C,Crotone,D,1,0,Home,Win,13,4,6,2,0,74,74,71,73,69,69,70,70,CagliariCrotone,1,1.671,13,4,6,20,10,4,5,2,3,0,,,,,,,,,
20172018_025,20172018,3,10/09/2017,,Crotone,D,Cagliari,D,0,1,Away,Loss,9,2,4,1,0,69,69,70,70,74,74,71,73,CrotoneCagliari,0,0,9,2,4,10,20,-2,-5,-4,-3,0,,,,,,,,,
20172018_029,20172018,3,10/09/2017,,Fiorentina,B,Verona,C,5,0,Away,Win,20,10,6,1,0,79,76,76,77,73,71,73,72,FiorentinaVerona,5.915,6.675,23.66,11.83,7.098,10,20,6,5,3,5,0,,,,,,,,,
20172018_028,20172018,3,10/09/2017,,Genoa,D,Udinese,C,0,1,Away,Loss,12,2,8,0,1,73,76,75,75,74,75,75,75,GenoaUdinese,0,0,14.196,2.366,9.464,25,65,-2,1,1,0,0,,,,,,,,,
20172018_026,20172018,3,10/09/2017,,Inter,A,Spal,D,2,0,Home,Win,19,7,8,2,0,81,81,78,80,74,71,71,72,InterSpal,2,2,19,7,8,20,20,10,10,4,8,0,,,,,,,,,
20172018_027,20172018,3,10/09/2017,,Lazio,B,Milan,A,4,1,Home,Win,12,7,3,1,0,79,79,79,79,79,79,81,80,LazioMilan,7.8,5.34,23.4,13.65,5.85,10,10,-2,0,0,-1,0,,,,,,,,,
20172018_027,20172018,3,10/09/2017,,Milan,A,Lazio,A,1,4,Away,Loss,18,6,5,1,0,79,79,81,80,79,79,79,79,MilanLazio,1.95,1,35.1,11.7,9.75,10,10,0,0,2,1,0,,,,,,,,,
20172018_024,20172018,3,10/09/2017,,Napoli,A,Bologna,C,3,0,Away,Win,17,7,7,1,0,83,82,80,81,77,74,74,75,NapoliBologna,3.549,3,20.111,8.281,8.281,10,50,9,8,3,6,0,,,,,,,,,
20172018_022,20172018,3,10/09/2017,,Sassuolo,C,Atalanta,B,1,2,Away,Loss,16,3,7,1,0,76,74,75,76,77,74,76,75,SassuoloAtalanta,1.446,1.671,23.136,4.338,10.122,10,0,0,0,-2,1,0,,,,,,,,,
20172018_026,20172018,3,10/09/2017,,Spal,D,Inter,B,0,2,Away,Loss,9,1,5,2,0,74,71,71,72,81,81,78,80,SpalInter,0,0,13.014,1.446,7.23,20,20,-4,-10,-10,-8,0,,,,,,,,,
20172018_023,20172018,3,10/09/2017,,Torino,B,Benevento,D,1,0,Away,Win,16,6,10,2,0,78,77,75,76,72,71,71,71,TorinoBenevento,1,1.335,16,6,10,20,20,7,6,3,5,0,,,,,,,,,
20172018_028,20172018,3,10/09/2017,,Udinese,C,Genoa,C,1,0,Home,Win,14,5,1,4,1,74,75,75,75,73,76,75,75,UdineseGenoa,1.183,1.671,16.562,5.915,1.183,65,25,-1,-1,2,0,0,,,,,,,,,
20172018_029,20172018,3,10/09/2017,,Verona,D,Fiorentina,B,0,5,Home,Loss,14,2,8,2,0,73,71,73,72,79,76,76,77,VeronaFiorentina,0,0,20.244,2.892,11.568,20,10,-3,-5,-6,-5,0,,,,,,,,,
20172018_031,20172018,4,16/09/2017,,Bologna,B,Fiorentina,B,1,2,Away,Loss,6,2,3,3,0,77,74,74,75,79,76,76,77,BolognaFiorentina,1.446,1.335,8.676,2.892,4.338,30,10,1,-2,-5,-2,1,,,,,,,,,
20172018_030,20172018,4,16/09/2017,,Crotone,D,Inter,B,0,2,Home,Loss,12,4,8,1,0,69,69,70,70,81,81,78,80,CrotoneInter,0,0,17.352,5.784,11.568,10,20,-9,-12,-11,-10,0,,,,,,,,,
20172018_031,20172018,4,16/09/2017,,Fiorentina,B,Bologna,C,2,1,Home,Win,14,4,7,1,0,79,76,76,77,77,74,74,75,FiorentinaBologna,2.366,2.67,16.562,4.732,8.281,10,30,5,2,-1,2,1,,,,,,,,,
20172018_030,20172018,4,16/09/2017,,Inter,A,Crotone,D,2,0,Away,Win,7,3,6,2,0,81,81,78,80,69,69,70,70,InterCrotone,2,2,7,3,6,20,10,11,12,9,10,0,,,,,,,,,
20172018_032,20172018,3,16/09/2017,,Roma,A,Verona,C,3,0,Home,Win,30,10,8,1,0,80,83,80,81,73,71,73,72,RomaVerona,3.549,3,35.49,11.83,9.464,10,35,7,12,7,9,0,,,,,,,,,
20172018_032,20172018,4,16/09/2017,,Verona,D,Roma,A,0,3,Away,Loss,8,1,1,1,1,73,71,73,72,80,83,80,81,VeronaRoma,0,0,15.6,1.95,1.95,35,10,-7,-12,-7,-9,0,,,,,,,,,
20172018_033,20172018,4,17/09/2017,,Atalanta,B,Chievo,C,1,1,Away,Draw,10,6,5,0,0,77,74,76,75,74,77,75,75,AtalantaChievo,1.183,1.335,11.83,7.098,5.915,0,20,2,-3,2,0,0,,,,,,,,,
20172018_036,20172018,4,17/09/2017,,Benevento,D,Napoli,A,0,6,Away,Loss,6,0,1,1,0,72,71,71,71,83,82,80,81,BeneventoNapoli,0,0,11.7,0,1.95,10,0,-8,-11,-12,-10,0,,,,,,,,,
20172018_038,20172018,4,17/09/2017,,Cagliari,C,Spal,D,2,0,Away,Win,11,3,4,3,0,74,74,71,73,74,71,71,72,CagliariSpal,2,3.342,11,3,4,30,10,3,3,-3,1,0,,,,,,,,,
20172018_033,20172018,4,17/09/2017,,Chievo,C,Atalanta,B,1,1,Home,Draw,15,4,6,2,0,74,77,75,75,77,74,76,75,ChievoAtalanta,1.446,1.671,21.69,5.784,8.676,20,0,-2,3,-2,0,0,,,,,,,,,
20172018_034,20172018,4,17/09/2017,,Genoa,D,Lazio,A,2,3,Home,Loss,5,4,2,1,0,73,76,75,75,79,79,79,79,GenoaLazio,3.9,4.19,9.75,7.8,3.9,10,20,-6,-3,-4,-4,0,,,,,,,,,
20172018_037,20172018,4,17/09/2017,,Juventus,A,Sassuolo,B,3,1,Away,Win,14,6,4,2,0,90,84,85,85,76,74,75,76,JuventusSassuolo,4.338,3,20.244,8.676,5.784,20,10,15,10,9,9,0,,,,,,,,,
20172018_034,20172018,4,17/09/2017,,Lazio,B,Genoa,C,3,2,Away,Win,18,6,1,2,0,79,79,79,79,73,76,75,75,LazioGenoa,3.549,4.005,21.294,7.098,1.183,20,10,4,3,6,4,0,,,,,,,,,
20172018_035,20172018,4,17/09/2017,,Milan,A,Udinese,C,2,1,Home,Win,21,7,10,1,0,79,79,81,80,74,75,75,75,MilanUdinese,2.366,2,24.843,8.281,11.83,10,20,4,4,7,5,0,,,,,,,,,
20172018_036,20172018,4,17/09/2017,,Napoli,A,Benevento,D,6,0,Home,Win,27,14,8,0,0,83,82,80,81,72,71,71,71,NapoliBenevento,6,6,27,14,8,0,10,12,11,8,10,0,,,,,,,,,
20172018_039,20172018,3,17/09/2017,,Sampdoria,C,Torino,B,2,2,Away,Draw,11,5,6,1,0,75,75,72,75,78,77,75,76,SampdoriaTorino,2.892,3.342,15.906,7.23,8.676,10,20,0,-2,-6,-1,0,,,,,,,,,
